product_id,name,category,brand,price_usd,stock,rating,release_year,specs_summary,description
P1001,NovaBook Air 13,Laptops,Corevia,899.4,189,3.7,2023,"32GB RAM, 128GB SSD, NovaCore i5 CPU, 11in display, 30h battery",Corevia NovaBook Air 13 is a compact laptop released in 2023.
P1002,NovaBook Pro 15,Laptops,NovaTech,1507.58,71,4.6,2022,"8GB RAM, 1024GB SSD, NovaCore i9 CPU, 17in display, 10h battery",NovaTech NovaBook Pro 15 is a flagship laptop released in 2022.
P1003,NovaBook Pro 17,Laptops,NovaTech,2012.52,137,3.4,2025,"32GB RAM, 512GB SSD, NovaCore i9 CPU, 11in display, 12h battery",NovaTech NovaBook Pro 17 is a reliable laptop released in 2025.
P1004,Zenbyte Slim 14,Laptops,Zenbyte,1843.23,93,3.5,2024,"32GB RAM, 512GB SSD, NovaCore i5 CPU, 11in display, 10h battery",Zenbyte Zenbyte Slim 14 is a compact laptop released in 2024.
P1005,Zenbyte Ultra 16,Laptops,NovaTech,2178.24,206,3.7,2024,"8GB RAM, 512GB SSD, NovaCore i7 CPU, 32in display, 30h battery",NovaTech Zenbyte Ultra 16 is a reliable laptop released in 2024.
P1006,Corevia Work 15,Laptops,Corevia,1417.92,56,4.9,2023,"16GB RAM, 128GB SSD, NovaCore i5 CPU, 14in display, 10h battery",Corevia Corevia Work 15 is a premium laptop released in 2023.
P1007,Corevia Studio 16,Laptops,Corevia,1996.3,174,4.7,2024,"32GB RAM, 512GB SSD, NovaCore i5 CPU, 17in display, 30h battery",Corevia Corevia Studio 16 is a flagship laptop released in 2024.
P1008,Pulsar X2,Smartphones,Corevia,806.66,50,3.5,2023,"128GB storage, 32in display, 6mAh battery, 12MP camera",Corevia Pulsar X2 is a premium smartphone released in 2023.
P1009,Pulsar X2 Pro,Smartphones,Corevia,784.99,17,4.9,2023,"1024GB storage, 17in display, 30mAh battery, 48MP camera",Corevia Pulsar X2 Pro is a compact smartphone released in 2023.
P1010,Pulsar Lite,Smartphones,NovaTech,523.7,86,3.2,2023,"128GB storage, 13in display, 12mAh battery, 12MP camera",NovaTech Pulsar Lite is a premium smartphone released in 2023.
P1011,NovaPhone 12,Smartphones,Corevia,431.31,239,4.7,2025,"1024GB storage, 14in display, 8mAh battery, 108MP camera",Corevia NovaPhone 12 is a compact smartphone released in 2025.
P1012,NovaPhone 12 Mini,Smartphones,NovaTech,701.62,86,4.6,2022,"256GB storage, 15in display, 30mAh battery, 48MP camera",NovaTech NovaPhone 12 Mini is a compact smartphone released in 2022.
P1013,Corevia Edge,Smartphones,Corevia,1298.28,214,3.2,2022,"256GB storage, 32in display, 40mAh battery, 48MP camera",Corevia Corevia Edge is a flagship smartphone released in 2022.
